ID	start_index	end_index	token	lemma	POS
1	3	13	Message-ID	message-id	NNP
4	16	59	27274423.1075858478951.JavaMail.evans@thyme	27274423.1075858478951.vavamail.evans@thyme	NN
6	61	65	Date	date	NN
8	67	70	Fri	frus	NNP
10	72	73	1	1	CD
11	74	77	Jun	jun	NNP
12	78	82	2001	2001	CD
13	83	91	06:39:15	06:39:15	NN
15	93	97	0700	0700	CD
17	99	102	PDT	pdt	NNP
19	104	108	From	from	IN
21	110	128	kaminski@enron.com	_	NN
22	129	131	To	to	TO
24	133	155	wolak@zia.stanford.edu	_	NN
25	156	163	Subject	subject	NNP
27	165	167	FW	fw	NNP
29	169	173	Risk	risk	NN
30	174	178	2001	2001	CD
31	179	188	Australia	australium	NNP
32	189	201	Mime-Version	mime-version	NNP
34	203	206	1.0	1.0	CD
35	207	219	Content-Type	content-type	NNP
37	221	225	text	text	NN
39	226	231	plain	plain	JJ
41	233	240	charset	charset	NN
43	241	249	us-ascii	us-ascius	JJ
44	250	275	Content-Transfer-Encoding	content-transfer-encoding	NNP
46	277	278	7	7	CD
47	278	281	bit	bite	NN
48	284	289	Frank	frank	NNP
50	292	295	FYI	fyus	NNP
51	297	302	Vince	vince	NNP
53	310	318	Original	original	NNP
54	319	331	Message-----	message-----	NNP
55	332	336	From	from	IN
58	340	346	philip	philip	NN
59	347	355	annesley	annesley	NN
62	358	382	pannesley@riskwaters.com	_	NN
64	383	389	@ENRON	@enron	NNP
66	391	397	mailto	mailto	NN
68	398	409	IMCEANOTES-	imceanotes-	NNP
70	410	412	22	22	CD
71	412	418	philip	philip	NN
73	419	421	20	20	CD
74	421	429	annesley	annesley	NN
76	430	432	22	22	CD
78	433	435	20	20	CD
80	436	437	3	3	CD
81	437	447	Cpannesley	cpannesley	NNP
83	448	450	40	40	CD
84	450	460	riskwaters	riskwater	NNS
86	461	462	2	2	CD
87	462	466	Ecom	ecom	NNP
89	467	468	3	3	CD
92	470	472	40	40	CD
93	472	487	ENRON@ENRON.com	_	NN
95	490	494	Sent	send	NNP
97	496	504	Thursday	thursday	NNP
99	506	509	May	may	NNP
100	510	512	31	31	CD
102	514	518	2001	2001	CD
103	519	523	9:12	9:12	NN
104	524	526	PM	pm	NNP
105	527	529	To	to	TO
107	531	539	Kaminski	kaminskus	NNP
109	541	546	Vince	vince	NNP
111	549	556	Subject	subject	NNP
113	558	560	RE	re	NNP
115	562	566	Risk	risk	NN
116	567	571	2001	2001	CD
117	572	581	Australia	australium	NNP
118	583	589	Thanks	thanks	NNS
119	590	595	Vince	vince	NNP
121	598	599	I	i	PRP
122	599	602	'll	will	MD
123	603	607	give	give	VB
124	608	611	him	him	PRP
125	612	613	a	a	DT
126	614	617	try	try	NN
129	625	633	Original	original	NNP
130	634	646	Message-----	message-----	NNP
131	647	651	From	from	IN
133	653	658	Vince	vince	NNP
135	659	679	J.Kaminski@enron.com	_	NN
137	681	687	mailto	mailto	NN
139	688	714	Vince.J.Kaminski@enron.com	_	NN
141	716	720	Sent	send	NNP
143	722	730	Thursday	thursday	NNP
145	732	735	May	may	NNP
146	736	738	31	31	CD
148	740	744	2001	2001	CD
149	745	750	10:03	10:03	NN
150	751	753	PM	pm	NNP
151	754	756	To	to	TO
153	758	782	pannesley@riskwaters.com	_	NN
154	783	790	Subject	subject	NNP
156	792	794	RE	re	NNP
158	796	800	Risk	risk	NN
159	801	805	2001	2001	CD
160	806	815	Australia	australium	NNP
161	817	823	Philip	philip	NNP
163	826	832	Please	please	VB
165	834	837	try	try	VB
166	838	843	Frank	frank	NNP
167	844	849	Wolak	wolak	NNP
168	850	854	from	from	IN
169	855	863	Stanford	stanford	NNP
170	864	874	University	university	NNP
172	877	879	He	he	PRP
173	880	882	is	be	VBZ
174	883	886	the	the	DT
175	887	891	best	best	JJS
176	892	898	expert	expert	NN
177	899	901	on	on	IN
178	902	912	California	californium	NNP
179	913	918	right	right	RB
180	919	922	now	now	RB
182	925	930	Vince	vince	NNP
184	938	946	Original	original	NNP
185	947	959	Message-----	message-----	NNP
186	961	965	From	from	IN
189	968	974	philip	philip	NN
190	975	983	annesley	annesley	NN
193	986	1010	pannesley@riskwaters.com	_	NN
196	1012	1017	ENRON	enron	NNP
198	1020	1026	mailto	mailto	NN
200	1027	1038	IMCEANOTES-	imceanotes-	NNP
202	1039	1041	22	22	CD
203	1041	1047	philip	philip	NN
205	1048	1050	20	20	CD
206	1050	1058	annesley	annesley	NN
208	1059	1061	22	22	CD
210	1062	1064	20	20	CD
212	1065	1066	3	3	CD
213	1066	1076	Cpannesley	cpannesley	NNP
215	1077	1079	40	40	CD
216	1079	1089	riskwaters	riskwater	NNS
218	1090	1091	2	2	CD
219	1091	1095	Ecom	ecom	NNP
221	1097	1098	3	3	CD
224	1100	1102	40	40	CD
225	1102	1117	ENRON@ENRON.com	_	NN
227	1121	1125	Sent	send	NNP
229	1127	1136	Wednesday	wednesday	NNP
231	1138	1141	May	may	NNP
232	1142	1144	30	30	CD
234	1146	1150	2001	2001	CD
235	1151	1155	7:50	7:50	NN
236	1156	1158	PM	pm	NNP
237	1160	1162	To	to	TO
239	1164	1172	Kaminski	kaminskus	NNP
241	1174	1179	Vince	vince	NNP
243	1183	1190	Subject	subject	NNP
245	1192	1194	RE	re	NNP
247	1196	1200	Risk	risk	NN
248	1201	1205	2001	2001	CD
249	1206	1215	Australia	australium	NNP
250	1218	1223	Vince	vince	NNP
251	1226	1232	Thanks	thanks	NNS
252	1233	1236	for	for	IN
253	1237	1243	coming	come	VBG
254	1244	1248	back	back	RB
255	1249	1251	to	to	TO
256	1252	1254	me	me	PRP
257	1255	1257	on	on	IN
258	1258	1262	this	this	DT
259	1263	1269	anyway	anyway	RB
261	1271	1276	Would	would	MD
262	1277	1280	you	you	PRP
263	1281	1283	be	be	VB
264	1284	1288	able	able	JJ
265	1289	1291	to	to	TO
266	1293	1300	suggest	suggest	VB
267	1302	1308	anyone	anyone	NN
268	1309	1313	else	else	RB
270	1316	1322	either	either	CC
271	1323	1325	in	in	IN
272	1326	1335	Australia	australium	NNP
274	1337	1343	Europe	europe	NNP
275	1344	1346	or	or	CC
