ID	start_index	end_index	token	lemma	POS
1	3	13	Message-ID	message-id	NNP
4	16	58	1697917.1075852651136.JavaMail.evans@thyme	1697917.1075852651136.javamail.evans@thyme	NN
6	60	64	Date	date	NN
8	66	69	Tue	tue	NNP
10	71	73	17	17	CD
11	74	77	Jul	jul	NNP
12	78	82	2001	2001	CD
13	83	91	16:09:15	16:09:15	NN
15	93	97	0700	0700	CD
17	99	102	PDT	pdt	NNP
19	104	108	From	from	IN
21	110	124	bg8862@aol.com	_	NN
22	125	127	To	to	TO
24	129	152	jeff.skilling@enron.com	_	NN
25	153	160	Subject	subject	NNP
27	162	165	Tom	tom	NNP
28	166	171	DeLay	delay	NNP
29	172	174	CA	can	NNP
30	175	178	Aug	aug	NNP
31	179	185	Dinner	dinner	NNP
33	188	192	Golf	golf	NNP
34	193	198	event	event	NN
35	199	201	Cc	cc	NNP
37	203	231	joannie.williamson@enron.com	_	NN
38	232	244	Mime-Version	mime-version	NNP
40	246	249	1.0	1.0	CD
41	250	262	Content-Type	content-type	NNP
43	264	268	text	text	NN
45	269	274	plain	plain	JJ
47	276	283	charset	charset	NN
49	284	292	us-ascii	us-ascius	JJ
50	293	318	Content-Transfer-Encoding	content-transfer-encoding	NNP
52	320	321	7	7	CD
53	321	324	bit	bite	NN
54	325	328	Bcc	bcc	NNP
56	330	358	joannie.williamson@enron.com	_	NN
57	361	365	Jeff	jeff	NNP
59	368	369	I	i	PRP
60	370	375	spoke	speak	VBD
61	376	378	to	to	TO
62	379	386	Joannie	joannie	NNP
63	387	391	this	this	DT
64	392	401	afternoon	afternoon	NN
65	402	405	and	and	CC
66	406	411	asked	ask	VBD
67	412	415	for	for	IN
68	416	420	your	your	PRP$
69	421	427	e-mail	e-mail	JJ
70	428	430	to	to	TO
71	431	435	send	send	VB
72	436	440	this	this	DT
73	443	453	invitation	invitation	NN
75	458	462	Here	here	RB
76	463	465	is	be	VBZ
77	466	469	the	the	DT
78	470	477	initial	initial	JJ
79	478	489	information	information	NN
80	490	492	on	on	IN
81	493	496	the	the	DT
82	497	502	event	event	NN
84	504	506	We	we	PRP
85	507	510	are	be	VBP
86	511	520	expecting	expect	VBG
87	521	531	additional	additional	JJ
88	534	541	members	member	NNS
89	542	544	of	of	IN
90	545	553	Congress	congress	NNP
91	554	556	to	to	TO
92	557	563	attend	attend	VB
93	564	568	both	both	DT
94	569	575	events	event	NNS
96	577	579	If	if	IN
97	580	583	you	you	PRP
98	584	588	have	have	VBP
99	589	592	any	any	DT
100	593	602	questions	question	NNS
101	603	605	or	or	CC
102	608	615	comment	comment	VB
104	617	623	please	please	VB
105	624	627	let	let	VB
106	628	630	me	me	PRP
107	631	635	know	know	VB
109	638	639	I	i	PRP
110	640	644	have	have	VBP
111	645	653	attached	attach	VBN
112	654	655	a	a	DT
113	656	660	word	word	NN
114	661	664	doc	doc	NN
116	666	668	as	as	RB
117	669	673	well	well	RB
119	677	680	Tom	tom	NNP
120	681	686	DeLay	delay	NNP
122	689	695	ARMPAC	armpac	NNP
123	697	702	Guest	guest	NNP
124	703	710	Speaker	speaker	NNP
126	713	718	David	david	NNP
127	719	727	Horowitz	horowitz	NNP
128	731	735	Four	four	CD
129	736	743	Seasons	season	NNPS
130	744	750	Aviara	aviara	NNP
132	753	759	Dinner	dinner	NNP
134	762	766	Golf	golf	NNP
135	767	777	Tournament	tournament	NNP
136	781	784	The	the	DT
137	785	790	event	event	NN
138	791	795	will	will	MD
139	796	800	take	take	VB
140	801	806	place	place	NN
142	809	818	Wednesday	wednesday	NNP
144	820	826	August	august	NNP
145	827	829	15	15	CD
146	832	836	Four	four	CD
147	837	844	Seasons	season	NNPS
148	845	851	Aviara	aviara	NNP
150	853	861	Northern	northern	NNP
151	862	865	San	san	NNP
152	866	871	Diego	diego	NNP
154	873	875	CA	can	NNP
156	879	883	Golf	golf	NNP
157	885	890	Lunch	lunch	NNP
158	891	895	will	will	MD
159	896	901	start	start	VB
160	902	904	at	at	IN
161	905	907	11	11	CD
162	907	909	am	be	VBP
163	912	915	Tee	tee	UH
164	916	921	times	time	NNS
165	922	924	at	at	IN
166	925	930	12:15	12:15	NN
167	930	932	pm	pm	NN
168	935	937	An	an	DT
169	938	946	informal	informal	JJ
170	947	956	reception	reception	NN
171	957	967	afterwards	afterward	RB
172	969	976	Limited	limit	NNP
173	977	979	to	to	TO
174	980	982	40	40	CD
175	983	989	people	people	NNS
176	991	995	Cost	cost	NN
177	996	998	is	be	VBZ
178	999	1002	$5k	$5k	NN
179	1003	1006	per	per	IN
180	1007	1013	person	person	NN
181	1015	1021	Dinner	dinner	NNP
182	1023	1032	Reception	reception	NNP
183	1033	1034	6	6	CD
184	1035	1037	to	to	TO
185	1038	1042	6:45	6:45	NN
186	1042	1044	pm	pm	NN
187	1046	1052	Dinner	dinner	NNP
188	1053	1054	7	7	CD
189	1055	1057	to	to	TO
190	1058	1062	8:30	8:30	NN
191	1062	1064	pm	pm	NN
192	1066	1074	Speakers	speaker	NNS
193	1075	1078	Tom	tom	NNP
194	1079	1084	DeLay	delay	NNP
195	1085	1088	and	and	CC
196	1089	1094	David	david	NNP
197	1095	1103	Horowitz	horowitz	NNP
198	1105	1111	$1,500	$1,500	NN
199	1112	1115	per	per	IN
200	1116	1122	person	person	NN
202	1124	1130	$2,500	$2,500	NN
203	1131	1134	per	per	IN
204	1135	1141	couple	couple	NN
205	1143	1148	There	there	EX
206	1149	1152	are	be	VBP
207	1153	1157	four	four	CD
208	1158	1164	levels	level	NNS
209	1165	1167	of	of	IN
210	1168	1179	sponsorship	sponsorship	NN
212	1181	1186	$100K	$100K	NN
214	1188	1192	$50k	$50k	NN
216	1194	1198	$25k	$25k	NN
217	1199	1202	and	and	CC
218	1203	1207	$15k	$15k	NN
220	1211	1223	Contribution	contribution	NNP
221	1224	1230	levels	level	NNS
222	1231	1235	will	will	MD
223	1236	1240	also	also	RB
224	1241	1249	transfer	transfer	VB
225	1250	1254	from	from	IN
226	1255	1258	the	the	DT
227	1259	1265	dinner	dinner	NN
228	1266	1269	and	and	CC
230	1270	1272	or	or	CC
231	1273	1277	Golf	golf	NNP
232	1278	1288	Tournament	tournament	NNP
233	1291	1293	to	to	TO
234	1294	1297	the	the	DT
235	1298	1304	ARMPAC	armpac	NNP
237	1306	1317	contributor	contributor	NN
238	1318	1329	sponsorship	sponsorship	NN
239	1330	1337	program	program	NN
242	1343	1347	Bill	bill	NNP
243	1348	1353	Gowan	gowan	NNP
244	1355	1363	Election	election	NNP
245	1364	1367	Day	day	NNP
246	1368	1378	Consulting	consult	NNP
248	1380	1383	LLC	llc	NNP
249	1385	1389	1947	1947	CD
250	1390	1396	Camino	camino	NNP
251	1397	1401	Vida	vida	NNP
252	1402	1407	Roble	roble	NNP
254	1409	1414	suite	suite	NN
255	1415	1418	104	104	CD
256	1420	1428	Carlsbad	carlsbad	NNP
258	1430	1432	CA	can	NNP
259	1433	1438	92009	92009	CD
260	1439	1442	760	760	CD
261	1443	1451	929.1203	929.1203	CD
262	1453	1474	electiondayconsulting	electiondayconsult	VBG
264	1475	1478	com	com	NN
266	1484	1487	Aug	aug	NNP
267	1488	1490	15	15	CD
268	1491	1495	Golf	golf	NNP
269	1496	1506	dinner.doc	dinner.doc	NN
