ID	start_index	end_index	token	lemma	POS
1	3	13	Message-ID	message-id	NNP
4	16	59	29555721.1075857154511.JavaMail.evans@thyme	29555721.1075857154511.javamail.evans@thyme	NN
6	61	65	Date	date	NN
8	67	70	Wed	wed	NNP
10	72	74	14	14	CD
11	75	78	Jun	jun	NNP
12	79	83	2000	2000	CD
13	84	92	06:28:00	06:28:00	NN
15	94	98	0700	0700	CD
17	100	103	PDT	pdt	NNP
19	105	109	From	from	IN
21	111	136	benjamin.rogers@enron.com	_	NN
22	137	139	To	to	TO
24	141	164	stuart.zisman@enron.com	_	NN
25	165	172	Subject	subject	NNP
27	174	186	Confidential	confidential	NNP
28	187	196	Agreement	agreement	NNP
29	197	202	Mime-	mime-	NNP
30	202	209	Version	version	NNP
32	211	214	1.0	1.0	CD
33	215	223	Content-	content-	NNP
34	223	227	Type	type	NNP
36	229	233	text	text	NN
38	234	239	plain	plain	JJ
40	241	248	charset	charset	NN
42	249	257	us-ascii	us-ascius	JJ
43	258	266	Content-	content-	NNP
44	266	275	Transfer-	transfer-	NNP
45	275	283	Encoding	encode	NNP
47	285	286	7	7	CD
48	286	289	bit	bite	NN
49	292	296	Here	here	RB
50	297	299	is	be	VBZ
51	300	303	the	the	DT
52	304	310	latest	latest	JJS
53	311	315	copy	copy	NN
55	318	322	Once	once	RB
56	323	326	you	you	PRP
57	327	330	may	may	MD
58	331	334	the	the	DT
59	335	342	changes	change	NNS
60	343	344	I	i	PRP
61	345	347	am	be	VBP
62	348	353	going	go	VBG
63	354	356	to	to	TO
64	357	360	run	run	VB
65	361	363	it	it	PRP
66	364	366	by	by	IN
67	368	372	Mark	mark	NNP
68	373	378	Metts	mett	NNP
69	379	382	and	and	CC
70	383	387	send	send	VB
71	388	390	it	it	PRP
72	391	395	over	over	IN
73	396	398	to	to	TO
74	399	406	CINergy	cinergy	NNP
76	409	410	I	i	PRP
77	411	413	am	be	VBP
78	414	420	trying	try	VBG
79	421	423	to	to	TO
80	424	427	get	get	VB
81	428	432	this	this	DT
82	433	439	sogned	sogn	JJ
83	441	446	today	today	NN
85	448	450	so	so	IN
86	451	452	I	i	PRP
87	453	456	can	can	MD
88	457	461	head	head	VB
89	462	466	down	down	IN
90	467	469	to	to	TO
91	470	477	Florida	florida	NNP
92	478	480	to	to	TO
93	481	485	meet	meet	VB
94	486	488	up	up	RP
95	489	493	with	with	IN
96	494	497	Don	don	NNP
97	498	501	and	and	CC
98	502	509	company	company	NN
100	512	518	Thanks	thanks	NNS
101	520	523	Ben	ben	NNP
103	547	556	Forwarded	forward	NNP
104	557	559	by	by	IN
105	560	568	Benjamin	benjamin	NNP
106	569	575	Rogers	roger	NNP
108	576	579	HOU	hou	NNP
110	580	583	ECT	ect	NNP
111	584	586	on	on	IN
112	587	597	06/14/2000	06/14/2000	CD
113	599	604	01:27	01:27	NN
114	605	607	PM	pm	NNP
117	642	646	Wahl	wahl	NNP
119	648	656	Jennifer	jennifer	NNP
122	659	676	jwahl@Cinergy.com	_	NN
124	678	680	on	on	IN
125	681	691	06/06/2000	06/06/2000	CD
126	692	700	10:43:34	10:43:34	NN
127	701	703	AM	be	NNP
128	712	714	To	to	TO
132	718	721	Ben	ben	NNP
133	722	728	Rogers	roger	NNP
137	732	757	benjamin.rogers@enron.com	_	NN
139	767	769	cc	cc	NN
142	772	777	Cyrus	cyrus	NNP
144	779	786	Michael	michael	NNP
147	789	807	mcyrus@Cinergy.com	_	NN
149	810	817	Subject	subject	NNP
151	819	831	Confidential	confidential	NNP
152	832	841	Agreement	agreement	NNP
153	843	847	This	this	DT
154	848	855	follows	follow	VBZ
155	856	858	up	up	RB
156	859	861	on	on	IN
157	862	866	your	your	PRP$
158	867	872	voice	voice	NN
159	873	877	mail	mail	NN
160	878	885	message	message	NN
161	886	895	regarding	regard	VBG
162	896	899	the	the	DT
163	900	906	status	status	NN
164	907	909	of	of	IN
165	910	913	the	the	DT
166	914	929	Confidentiality	confidentiality	NNP
167	930	939	Agreement	agreement	NNP
168	940	942	in	in	IN
169	943	948	light	light	NN
170	949	951	of	of	IN
171	952	959	renewed	renew	VBN
172	960	971	discussions	discussion	NNS
173	972	979	between	between	IN
174	980	983	the	the	DT
175	984	987	two	two	CD
176	988	997	companies	company	NNS
178	1000	1008	Attached	attach	NNP
179	1009	1011	is	be	VBZ
180	1012	1015	the	the	DT
181	1016	1022	latest	latest	JJS
182	1023	1028	draft	draft	NN
183	1029	1031	of	of	IN
184	1032	1035	the	the	DT
185	1036	1051	Confidentiality	confidentiality	NNP
186	1052	1061	Agreement	agreement	NNP
187	1062	1067	which	which	WDT
188	1068	1071	was	be	VBD
189	1072	1083	transmitted	transmit	VBN
190	1084	1086	to	to	TO
191	1087	1090	you	you	PRP
192	1091	1093	on	on	IN
193	1094	1097	May	may	NNP
194	1098	1100	13	13	CD
196	1103	1109	Please	please	VB
197	1110	1114	call	call	NN
198	1115	1117	me	me	PRP
199	1118	1122	with	with	IN
200	1123	1126	any	any	DT
201	1127	1135	comments	comment	NNS
202	1136	1138	or	or	CC
203	1139	1148	questions	question	NNS
207	1158	1170	Confidential	confidential	NNP
